gdof,component,comp_name,layer_e,ir,iz,localnode,r,z
1,1,theta,1,1,1,1,1,0
2,1,theta,1,1,2,2,1,0.0357779
3,1,theta,1,1,3,3,1,0.140673
4,1,theta,1,1,4,4,1,0.307538
5,1,theta,1,1,5,5,1,0.525
6,1,theta,1,1,6,6,1,0.77824
7,1,theta,1,1,7,7,1,1.05
8,1,theta,1,1,8,8,1,1.32176
9,1,theta,1,1,9,9,1,1.575
10,1,theta,1,1,10,10,1,1.79246
11,1,theta,1,1,11,11,1,1.95933
12,1,theta,1,1,12,12,1,2.06422
13,1,theta,1,1,13,13,1,2.1
14,1,theta,1,2,1,14,1.00478,0
15,1,theta,1,2,2,15,1.00478,0.0357779
16,1,theta,1,2,3,16,1.00478,0.140673
17,1,theta,1,2,4,17,1.00478,0.307538
18,1,theta,1,2,5,18,1.00478,0.525
19,1,theta,1,2,6,19,1.00478,0.77824
20,1,theta,1,2,7,20,1.00478,1.05
21,1,theta,1,2,8,21,1.00478,1.32176
22,1,theta,1,2,9,22,1.00478,1.575
23,1,theta,1,2,10,23,1.00478,1.79246
24,1,theta,1,2,11,24,1.00478,1.95933
25,1,theta,1,2,12,25,1.00478,2.06422
26,1,theta,1,2,13,26,1.00478,2.1
27,1,theta,1,3,1,27,1.01786,0
28,1,theta,1,3,2,28,1.01786,0.0357779
29,1,theta,1,3,3,29,1.01786,0.140673
30,1,theta,1,3,4,30,1.01786,0.307538
31,1,theta,1,3,5,31,1.01786,0.525
32,1,theta,1,3,6,32,1.01786,0.77824
33,1,theta,1,3,7,33,1.01786,1.05
34,1,theta,1,3,8,34,1.01786,1.32176
35,1,theta,1,3,9,35,1.01786,1.575
36,1,theta,1,3,10,36,1.01786,1.79246
37,1,theta,1,3,11,37,1.01786,1.95933
38,1,theta,1,3,12,38,1.01786,2.06422
39,1,theta,1,3,13,39,1.01786,2.1
40,1,theta,1,4,1,40,1.03571,0
41,1,theta,1,4,2,41,1.03571,0.0357779
42,1,theta,1,4,3,42,1.03571,0.140673
43,1,theta,1,4,4,43,1.03571,0.307538
44,1,theta,1,4,5,44,1.03571,0.525
45,1,theta,1,4,6,45,1.03571,0.77824
46,1,theta,1,4,7,46,1.03571,1.05
47,1,theta,1,4,8,47,1.03571,1.32176
48,1,theta,1,4,9,48,1.03571,1.575
49,1,theta,1,4,10,49,1.03571,1.79246
50,1,theta,1,4,11,50,1.03571,1.95933
51,1,theta,1,4,12,51,1.03571,2.06422
52,1,theta,1,4,13,52,1.03571,2.1
53,1,theta,1,5,1,53,1.05357,0
54,1,theta,1,5,2,54,1.05357,0.0357779
55,1,theta,1,5,3,55,1.05357,0.140673
56,1,theta,1,5,4,56,1.05357,0.307538
57,1,theta,1,5,5,57,1.05357,0.525
58,1,theta,1,5,6,58,1.05357,0.77824
59,1,theta,1,5,7,59,1.05357,1.05
60,1,theta,1,5,8,60,1.05357,1.32176
61,1,theta,1,5,9,61,1.05357,1.575
62,1,theta,1,5,10,62,1.05357,1.79246
63,1,theta,1,5,11,63,1.05357,1.95933
64,1,theta,1,5,12,64,1.05357,2.06422
65,1,theta,1,5,13,65,1.05357,2.1
66,1,theta,1,6,1,66,1.06664,0
67,1,theta,1,6,2,67,1.06664,0.0357779
68,1,theta,1,6,3,68,1.06664,0.140673
69,1,theta,1,6,4,69,1.06664,0.307538
70,1,theta,1,6,5,70,1.06664,0.525
71,1,theta,1,6,6,71,1.06664,0.77824
72,1,theta,1,6,7,72,1.06664,1.05
73,1,theta,1,6,8,73,1.06664,1.32176
74,1,theta,1,6,9,74,1.06664,1.575
75,1,theta,1,6,10,75,1.06664,1.79246
76,1,theta,1,6,11,76,1.06664,1.95933
77,1,theta,1,6,12,77,1.06664,2.06422
78,1,theta,1,6,13,78,1.06664,2.1
