gdof,component,comp_name,layer_e,ir,iz,localnode,r,z
1,1,theta,1,1,1,1,1,0
2,1,theta,1,1,2,2,1,0.307538
3,1,theta,1,1,3,3,1,1.05
4,1,theta,1,1,4,4,1,1.79246
5,1,theta,1,1,5,5,1,2.1
6,1,theta,1,2,1,6,1.00175,0
7,1,theta,1,2,2,7,1.00175,0.307538
8,1,theta,1,2,3,8,1.00175,1.05
9,1,theta,1,2,4,9,1.00175,1.79246
10,1,theta,1,2,5,10,1.00175,2.1
11,1,theta,1,3,1,11,1.00682,0
12,1,theta,1,3,2,12,1.00682,0.307538
13,1,theta,1,3,3,13,1.00682,1.05
14,1,theta,1,3,4,14,1.00682,1.79246
15,1,theta,1,3,5,15,1.00682,2.1
16,1,theta,1,4,1,16,1.01472,0
17,1,theta,1,4,2,17,1.01472,0.307538
18,1,theta,1,4,3,18,1.01472,1.05
19,1,theta,1,4,4,19,1.01472,1.79246
20,1,theta,1,4,5,20,1.01472,2.1
21,1,theta,1,5,1,21,1.02468,0
22,1,theta,1,5,2,22,1.02468,0.307538
23,1,theta,1,5,3,23,1.02468,1.05
24,1,theta,1,5,4,24,1.02468,1.79246
25,1,theta,1,5,5,25,1.02468,2.1
26,1,theta,1,6,1,26,1.03571,0
27,1,theta,1,6,2,27,1.03571,0.307538
28,1,theta,1,6,3,28,1.03571,1.05
29,1,theta,1,6,4,29,1.03571,1.79246
30,1,theta,1,6,5,30,1.03571,2.1
31,1,theta,1,7,1,31,1.04675,0
32,1,theta,1,7,2,32,1.04675,0.307538
33,1,theta,1,7,3,33,1.04675,1.05
34,1,theta,1,7,4,34,1.04675,1.79246
35,1,theta,1,7,5,35,1.04675,2.1
36,1,theta,1,8,1,36,1.05671,0
37,1,theta,1,8,2,37,1.05671,0.307538
38,1,theta,1,8,3,38,1.05671,1.05
39,1,theta,1,8,4,39,1.05671,1.79246
40,1,theta,1,8,5,40,1.05671,2.1
41,1,theta,1,9,1,41,1.06461,0
42,1,theta,1,9,2,42,1.06461,0.307538
43,1,theta,1,9,3,43,1.06461,1.05
44,1,theta,1,9,4,44,1.06461,1.79246
45,1,theta,1,9,5,45,1.06461,2.1
46,1,theta,1,10,1,46,1.06968,0
47,1,theta,1,10,2,47,1.06968,0.307538
48,1,theta,1,10,3,48,1.06968,1.05
49,1,theta,1,10,4,49,1.06968,1.79246
50,1,theta,1,10,5,50,1.06968,2.1
51,1,theta,1,11,1,51,1.07143,0
52,1,theta,1,11,2,52,1.07143,0.307538
53,1,theta,1,11,3,53,1.07143,1.05
54,1,theta,1,11,4,54,1.07143,1.79246
55,1,theta,1,11,5,55,1.07143,2.1
