gdof,component,comp_name,layer_e,ir,iz,localnode,r,z
1,1,theta,1,1,1,1,1,0
2,1,theta,1,1,2,2,1,0.140673
3,1,theta,1,1,3,3,1,0.525
4,1,theta,1,1,4,4,1,1.05
5,1,theta,1,1,5,5,1,1.575
6,1,theta,1,1,6,6,1,1.95933
7,1,theta,1,1,7,7,1,2.1
8,1,theta,1,2,1,8,1.00175,0
9,1,theta,1,2,2,9,1.00175,0.140673
10,1,theta,1,2,3,10,1.00175,0.525
11,1,theta,1,2,4,11,1.00175,1.05
12,1,theta,1,2,5,12,1.00175,1.575
13,1,theta,1,2,6,13,1.00175,1.95933
14,1,theta,1,2,7,14,1.00175,2.1
15,1,theta,1,3,1,15,1.00682,0
16,1,theta,1,3,2,16,1.00682,0.140673
17,1,theta,1,3,3,17,1.00682,0.525
18,1,theta,1,3,4,18,1.00682,1.05
19,1,theta,1,3,5,19,1.00682,1.575
20,1,theta,1,3,6,20,1.00682,1.95933
21,1,theta,1,3,7,21,1.00682,2.1
22,1,theta,1,4,1,22,1.01472,0
23,1,theta,1,4,2,23,1.01472,0.140673
24,1,theta,1,4,3,24,1.01472,0.525
25,1,theta,1,4,4,25,1.01472,1.05
26,1,theta,1,4,5,26,1.01472,1.575
27,1,theta,1,4,6,27,1.01472,1.95933
28,1,theta,1,4,7,28,1.01472,2.1
29,1,theta,1,5,1,29,1.02468,0
30,1,theta,1,5,2,30,1.02468,0.140673
31,1,theta,1,5,3,31,1.02468,0.525
32,1,theta,1,5,4,32,1.02468,1.05
33,1,theta,1,5,5,33,1.02468,1.575
34,1,theta,1,5,6,34,1.02468,1.95933
35,1,theta,1,5,7,35,1.02468,2.1
36,1,theta,1,6,1,36,1.03571,0
37,1,theta,1,6,2,37,1.03571,0.140673
38,1,theta,1,6,3,38,1.03571,0.525
39,1,theta,1,6,4,39,1.03571,1.05
40,1,theta,1,6,5,40,1.03571,1.575
41,1,theta,1,6,6,41,1.03571,1.95933
42,1,theta,1,6,7,42,1.03571,2.1
43,1,theta,1,7,1,43,1.04675,0
44,1,theta,1,7,2,44,1.04675,0.140673
45,1,theta,1,7,3,45,1.04675,0.525
46,1,theta,1,7,4,46,1.04675,1.05
47,1,theta,1,7,5,47,1.04675,1.575
48,1,theta,1,7,6,48,1.04675,1.95933
49,1,theta,1,7,7,49,1.04675,2.1
50,1,theta,1,8,1,50,1.05671,0
51,1,theta,1,8,2,51,1.05671,0.140673
52,1,theta,1,8,3,52,1.05671,0.525
53,1,theta,1,8,4,53,1.05671,1.05
54,1,theta,1,8,5,54,1.05671,1.575
55,1,theta,1,8,6,55,1.05671,1.95933
56,1,theta,1,8,7,56,1.05671,2.1
57,1,theta,1,9,1,57,1.06461,0
58,1,theta,1,9,2,58,1.06461,0.140673
59,1,theta,1,9,3,59,1.06461,0.525
60,1,theta,1,9,4,60,1.06461,1.05
61,1,theta,1,9,5,61,1.06461,1.575
62,1,theta,1,9,6,62,1.06461,1.95933
63,1,theta,1,9,7,63,1.06461,2.1
64,1,theta,1,10,1,64,1.06968,0
65,1,theta,1,10,2,65,1.06968,0.140673
66,1,theta,1,10,3,66,1.06968,0.525
67,1,theta,1,10,4,67,1.06968,1.05
68,1,theta,1,10,5,68,1.06968,1.575
69,1,theta,1,10,6,69,1.06968,1.95933
70,1,theta,1,10,7,70,1.06968,2.1
71,1,theta,1,11,1,71,1.07143,0
72,1,theta,1,11,2,72,1.07143,0.140673
73,1,theta,1,11,3,73,1.07143,0.525
74,1,theta,1,11,4,74,1.07143,1.05
75,1,theta,1,11,5,75,1.07143,1.575
76,1,theta,1,11,6,76,1.07143,1.95933
77,1,theta,1,11,7,77,1.07143,2.1
78,1,theta,2,1,1,1,1.07143,0
79,1,theta,2,1,2,2,1.07143,0.140673
80,1,theta,2,1,3,3,1.07143,0.525
81,1,theta,2,1,4,4,1.07143,1.05
82,1,theta,2,1,5,5,1.07143,1.575
83,1,theta,2,1,6,6,1.07143,1.95933
84,1,theta,2,1,7,7,1.07143,2.1
85,1,theta,2,2,1,8,1.07318,0
86,1,theta,2,2,2,9,1.07318,0.140673
87,1,theta,2,2,3,10,1.07318,0.525
88,1,theta,2,2,4,11,1.07318,1.05
89,1,theta,2,2,5,12,1.07318,1.575
90,1,theta,2,2,6,13,1.07318,1.95933
91,1,theta,2,2,7,14,1.07318,2.1
92,1,theta,2,3,1,15,1.07825,0
93,1,theta,2,3,2,16,1.07825,0.140673
94,1,theta,2,3,3,17,1.07825,0.525
95,1,theta,2,3,4,18,1.07825,1.05
96,1,theta,2,3,5,19,1.07825,1.575
97,1,theta,2,3,6,20,1.07825,1.95933
98,1,theta,2,3,7,21,1.07825,2.1
99,1,theta,2,4,1,22,1.08615,0
100,1,theta,2,4,2,23,1.08615,0.140673
101,1,theta,2,4,3,24,1.08615,0.525
102,1,theta,2,4,4,25,1.08615,1.05
103,1,theta,2,4,5,26,1.08615,1.575
104,1,theta,2,4,6,27,1.08615,1.95933
105,1,theta,2,4,7,28,1.08615,2.1
106,1,theta,2,5,1,29,1.09611,0
107,1,theta,2,5,2,30,1.09611,0.140673
108,1,theta,2,5,3,31,1.09611,0.525
109,1,theta,2,5,4,32,1.09611,1.05
110,1,theta,2,5,5,33,1.09611,1.575
111,1,theta,2,5,6,34,1.09611,1.95933
112,1,theta,2,5,7,35,1.09611,2.1
113,1,theta,2,6,1,36,1.10714,0
114,1,theta,2,6,2,37,1.10714,0.140673
115,1,theta,2,6,3,38,1.10714,0.525
116,1,theta,2,6,4,39,1.10714,1.05
117,1,theta,2,6,5,40,1.10714,1.575
118,1,theta,2,6,6,41,1.10714,1.95933
119,1,theta,2,6,7,42,1.10714,2.1
120,1,theta,2,7,1,43,1.11818,0
121,1,theta,2,7,2,44,1.11818,0.140673
122,1,theta,2,7,3,45,1.11818,0.525
123,1,theta,2,7,4,46,1.11818,1.05
124,1,theta,2,7,5,47,1.11818,1.575
125,1,theta,2,7,6,48,1.11818,1.95933
126,1,theta,2,7,7,49,1.11818,2.1
127,1,theta,2,8,1,50,1.12814,0
128,1,theta,2,8,2,51,1.12814,0.140673
129,1,theta,2,8,3,52,1.12814,0.525
130,1,theta,2,8,4,53,1.12814,1.05
131,1,theta,2,8,5,54,1.12814,1.575
132,1,theta,2,8,6,55,1.12814,1.95933
133,1,theta,2,8,7,56,1.12814,2.1
134,1,theta,2,9,1,57,1.13604,0
135,1,theta,2,9,2,58,1.13604,0.140673
136,1,theta,2,9,3,59,1.13604,0.525
137,1,theta,2,9,4,60,1.13604,1.05
138,1,theta,2,9,5,61,1.13604,1.575
139,1,theta,2,9,6,62,1.13604,1.95933
140,1,theta,2,9,7,63,1.13604,2.1
141,1,theta,2,10,1,64,1.14111,0
142,1,theta,2,10,2,65,1.14111,0.140673
143,1,theta,2,10,3,66,1.14111,0.525
144,1,theta,2,10,4,67,1.14111,1.05
145,1,theta,2,10,5,68,1.14111,1.575
146,1,theta,2,10,6,69,1.14111,1.95933
147,1,theta,2,10,7,70,1.14111,2.1
148,1,theta,2,11,1,71,1.14286,0
149,1,theta,2,11,2,72,1.14286,0.140673
150,1,theta,2,11,3,73,1.14286,0.525
151,1,theta,2,11,4,74,1.14286,1.05
152,1,theta,2,11,5,75,1.14286,1.575
153,1,theta,2,11,6,76,1.14286,1.95933
154,1,theta,2,11,7,77,1.14286,2.1
155,1,theta,3,1,1,1,1.14286,0
156,1,theta,3,1,2,2,1.14286,0.140673
157,1,theta,3,1,3,3,1.14286,0.525
158,1,theta,3,1,4,4,1.14286,1.05
159,1,theta,3,1,5,5,1.14286,1.575
160,1,theta,3,1,6,6,1.14286,1.95933
161,1,theta,3,1,7,7,1.14286,2.1
162,1,theta,3,2,1,8,1.14461,0
163,1,theta,3,2,2,9,1.14461,0.140673
164,1,theta,3,2,3,10,1.14461,0.525
165,1,theta,3,2,4,11,1.14461,1.05
166,1,theta,3,2,5,12,1.14461,1.575
167,1,theta,3,2,6,13,1.14461,1.95933
168,1,theta,3,2,7,14,1.14461,2.1
169,1,theta,3,3,1,15,1.14968,0
170,1,theta,3,3,2,16,1.14968,0.140673
171,1,theta,3,3,3,17,1.14968,0.525
172,1,theta,3,3,4,18,1.14968,1.05
173,1,theta,3,3,5,19,1.14968,1.575
174,1,theta,3,3,6,20,1.14968,1.95933
175,1,theta,3,3,7,21,1.14968,2.1
176,1,theta,3,4,1,22,1.15758,0
177,1,theta,3,4,2,23,1.15758,0.140673
178,1,theta,3,4,3,24,1.15758,0.525
179,1,theta,3,4,4,25,1.15758,1.05
180,1,theta,3,4,5,26,1.15758,1.575
181,1,theta,3,4,6,27,1.15758,1.95933
182,1,theta,3,4,7,28,1.15758,2.1
183,1,theta,3,5,1,29,1.16754,0
184,1,theta,3,5,2,30,1.16754,0.140673
185,1,theta,3,5,3,31,1.16754,0.525
186,1,theta,3,5,4,32,1.16754,1.05
187,1,theta,3,5,5,33,1.16754,1.575
188,1,theta,3,5,6,34,1.16754,1.95933
189,1,theta,3,5,7,35,1.16754,2.1
190,1,theta,3,6,1,36,1.17857,0
191,1,theta,3,6,2,37,1.17857,0.140673
192,1,theta,3,6,3,38,1.17857,0.525
193,1,theta,3,6,4,39,1.17857,1.05
194,1,theta,3,6,5,40,1.17857,1.575
195,1,theta,3,6,6,41,1.17857,1.95933
196,1,theta,3,6,7,42,1.17857,2.1
197,1,theta,3,7,1,43,1.18961,0
198,1,theta,3,7,2,44,1.18961,0.140673
199,1,theta,3,7,3,45,1.18961,0.525
200,1,theta,3,7,4,46,1.18961,1.05
201,1,theta,3,7,5,47,1.18961,1.575
202,1,theta,3,7,6,48,1.18961,1.95933
203,1,theta,3,7,7,49,1.18961,2.1
204,1,theta,3,8,1,50,1.19956,0
205,1,theta,3,8,2,51,1.19956,0.140673
206,1,theta,3,8,3,52,1.19956,0.525
207,1,theta,3,8,4,53,1.19956,1.05
208,1,theta,3,8,5,54,1.19956,1.575
209,1,theta,3,8,6,55,1.19956,1.95933
210,1,theta,3,8,7,56,1.19956,2.1
211,1,theta,3,9,1,57,1.20746,0
212,1,theta,3,9,2,58,1.20746,0.140673
213,1,theta,3,9,3,59,1.20746,0.525
214,1,theta,3,9,4,60,1.20746,1.05
215,1,theta,3,9,5,61,1.20746,1.575
216,1,theta,3,9,6,62,1.20746,1.95933
217,1,theta,3,9,7,63,1.20746,2.1
218,1,theta,3,10,1,64,1.21254,0
219,1,theta,3,10,2,65,1.21254,0.140673
220,1,theta,3,10,3,66,1.21254,0.525
221,1,theta,3,10,4,67,1.21254,1.05
222,1,theta,3,10,5,68,1.21254,1.575
223,1,theta,3,10,6,69,1.21254,1.95933
224,1,theta,3,10,7,70,1.21254,2.1
225,1,theta,3,11,1,71,1.21429,0
226,1,theta,3,11,2,72,1.21429,0.140673
227,1,theta,3,11,3,73,1.21429,0.525
228,1,theta,3,11,4,74,1.21429,1.05
229,1,theta,3,11,5,75,1.21429,1.575
230,1,theta,3,11,6,76,1.21429,1.95933
231,1,theta,3,11,7,77,1.21429,2.1
232,1,theta,4,1,1,1,1.21429,0
233,1,theta,4,1,2,2,1.21429,0.140673
234,1,theta,4,1,3,3,1.21429,0.525
235,1,theta,4,1,4,4,1.21429,1.05
236,1,theta,4,1,5,5,1.21429,1.575
237,1,theta,4,1,6,6,1.21429,1.95933
238,1,theta,4,1,7,7,1.21429,2.1
239,1,theta,4,2,1,8,1.21603,0
240,1,theta,4,2,2,9,1.21603,0.140673
241,1,theta,4,2,3,10,1.21603,0.525
242,1,theta,4,2,4,11,1.21603,1.05
243,1,theta,4,2,5,12,1.21603,1.575
244,1,theta,4,2,6,13,1.21603,1.95933
245,1,theta,4,2,7,14,1.21603,2.1
246,1,theta,4,3,1,15,1.22111,0
247,1,theta,4,3,2,16,1.22111,0.140673
248,1,theta,4,3,3,17,1.22111,0.525
249,1,theta,4,3,4,18,1.22111,1.05
250,1,theta,4,3,5,19,1.22111,1.575
251,1,theta,4,3,6,20,1.22111,1.95933
252,1,theta,4,3,7,21,1.22111,2.1
253,1,theta,4,4,1,22,1.22901,0
254,1,theta,4,4,2,23,1.22901,0.140673
255,1,theta,4,4,3,24,1.22901,0.525
256,1,theta,4,4,4,25,1.22901,1.05
257,1,theta,4,4,5,26,1.22901,1.575
258,1,theta,4,4,6,27,1.22901,1.95933
259,1,theta,4,4,7,28,1.22901,2.1
260,1,theta,4,5,1,29,1.23896,0
261,1,theta,4,5,2,30,1.23896,0.140673
