gdof,component,comp_name,layer_e,ir,iz,localnode,r,z
1,1,theta,1,1,1,1,1,0
2,1,theta,1,1,2,2,1,0.0513907
3,1,theta,1,1,3,3,1,0.200532
4,1,theta,1,1,4,4,1,0.432825
5,1,theta,1,1,5,5,1,0.725532
6,1,theta,1,1,6,6,1,1.05
7,1,theta,1,1,7,7,1,1.37447
8,1,theta,1,1,8,8,1,1.66717
9,1,theta,1,1,9,9,1,1.89947
10,1,theta,1,1,10,10,1,2.04861
11,1,theta,1,1,11,11,1,2.1
12,1,theta,1,2,1,12,1.00175,0
13,1,theta,1,2,2,13,1.00175,0.0513907
14,1,theta,1,2,3,14,1.00175,0.200532
15,1,theta,1,2,4,15,1.00175,0.432825
16,1,theta,1,2,5,16,1.00175,0.725532
17,1,theta,1,2,6,17,1.00175,1.05
18,1,theta,1,2,7,18,1.00175,1.37447
19,1,theta,1,2,8,19,1.00175,1.66717
20,1,theta,1,2,9,20,1.00175,1.89947
21,1,theta,1,2,10,21,1.00175,2.04861
22,1,theta,1,2,11,22,1.00175,2.1
23,1,theta,1,3,1,23,1.00682,0
24,1,theta,1,3,2,24,1.00682,0.0513907
25,1,theta,1,3,3,25,1.00682,0.200532
26,1,theta,1,3,4,26,1.00682,0.432825
27,1,theta,1,3,5,27,1.00682,0.725532
28,1,theta,1,3,6,28,1.00682,1.05
29,1,theta,1,3,7,29,1.00682,1.37447
30,1,theta,1,3,8,30,1.00682,1.66717
31,1,theta,1,3,9,31,1.00682,1.89947
32,1,theta,1,3,10,32,1.00682,2.04861
33,1,theta,1,3,11,33,1.00682,2.1
34,1,theta,1,4,1,34,1.01472,0
35,1,theta,1,4,2,35,1.01472,0.0513907
36,1,theta,1,4,3,36,1.01472,0.200532
37,1,theta,1,4,4,37,1.01472,0.432825
38,1,theta,1,4,5,38,1.01472,0.725532
39,1,theta,1,4,6,39,1.01472,1.05
40,1,theta,1,4,7,40,1.01472,1.37447
41,1,theta,1,4,8,41,1.01472,1.66717
42,1,theta,1,4,9,42,1.01472,1.89947
43,1,theta,1,4,10,43,1.01472,2.04861
44,1,theta,1,4,11,44,1.01472,2.1
45,1,theta,1,5,1,45,1.02468,0
46,1,theta,1,5,2,46,1.02468,0.0513907
47,1,theta,1,5,3,47,1.02468,0.200532
48,1,theta,1,5,4,48,1.02468,0.432825
49,1,theta,1,5,5,49,1.02468,0.725532
50,1,theta,1,5,6,50,1.02468,1.05
51,1,theta,1,5,7,51,1.02468,1.37447
52,1,theta,1,5,8,52,1.02468,1.66717
53,1,theta,1,5,9,53,1.02468,1.89947
54,1,theta,1,5,10,54,1.02468,2.04861
55,1,theta,1,5,11,55,1.02468,2.1
56,1,theta,1,6,1,56,1.03571,0
57,1,theta,1,6,2,57,1.03571,0.0513907
58,1,theta,1,6,3,58,1.03571,0.200532
59,1,theta,1,6,4,59,1.03571,0.432825
60,1,theta,1,6,5,60,1.03571,0.725532
61,1,theta,1,6,6,61,1.03571,1.05
62,1,theta,1,6,7,62,1.03571,1.37447
63,1,theta,1,6,8,63,1.03571,1.66717
64,1,theta,1,6,9,64,1.03571,1.89947
65,1,theta,1,6,10,65,1.03571,2.04861
66,1,theta,1,6,11,66,1.03571,2.1
67,1,theta,1,7,1,67,1.04675,0
68,1,theta,1,7,2,68,1.04675,0.0513907
69,1,theta,1,7,3,69,1.04675,0.200532
70,1,theta,1,7,4,70,1.04675,0.432825
71,1,theta,1,7,5,71,1.04675,0.725532
72,1,theta,1,7,6,72,1.04675,1.05
73,1,theta,1,7,7,73,1.04675,1.37447
74,1,theta,1,7,8,74,1.04675,1.66717
75,1,theta,1,7,9,75,1.04675,1.89947
76,1,theta,1,7,10,76,1.04675,2.04861
77,1,theta,1,7,11,77,1.04675,2.1
78,1,theta,1,8,1,78,1.05671,0
79,1,theta,1,8,2,79,1.05671,0.0513907
80,1,theta,1,8,3,80,1.05671,0.200532
81,1,theta,1,8,4,81,1.05671,0.432825
82,1,theta,1,8,5,82,1.05671,0.725532
83,1,theta,1,8,6,83,1.05671,1.05
84,1,theta,1,8,7,84,1.05671,1.37447
85,1,theta,1,8,8,85,1.05671,1.66717
86,1,theta,1,8,9,86,1.05671,1.89947
87,1,theta,1,8,10,87,1.05671,2.04861
88,1,theta,1,8,11,88,1.05671,2.1
89,1,theta,1,9,1,89,1.06461,0
90,1,theta,1,9,2,90,1.06461,0.0513907
91,1,theta,1,9,3,91,1.06461,0.200532
92,1,theta,1,9,4,92,1.06461,0.432825
93,1,theta,1,9,5,93,1.06461,0.725532
94,1,theta,1,9,6,94,1.06461,1.05
95,1,theta,1,9,7,95,1.06461,1.37447
96,1,theta,1,9,8,96,1.06461,1.66717
97,1,theta,1,9,9,97,1.06461,1.89947
98,1,theta,1,9,10,98,1.06461,2.04861
99,1,theta,1,9,11,99,1.06461,2.1
100,1,theta,1,10,1,100,1.06968,0
101,1,theta,1,10,2,101,1.06968,0.0513907
102,1,theta,1,10,3,102,1.06968,0.200532
103,1,theta,1,10,4,103,1.06968,0.432825
104,1,theta,1,10,5,104,1.06968,0.725532
105,1,theta,1,10,6,105,1.06968,1.05
106,1,theta,1,10,7,106,1.06968,1.37447
107,1,theta,1,10,8,107,1.06968,1.66717
108,1,theta,1,10,9,108,1.06968,1.89947
109,1,theta,1,10,10,109,1.06968,2.04861
110,1,theta,1,10,11,110,1.06968,2.1
111,1,theta,1,11,1,111,1.07143,0
112,1,theta,1,11,2,112,1.07143,0.0513907
113,1,theta,1,11,3,113,1.07143,0.200532
114,1,theta,1,11,4,114,1.07143,0.432825
115,1,theta,1,11,5,115,1.07143,0.725532
116,1,theta,1,11,6,116,1.07143,1.05
117,1,theta,1,11,7,117,1.07143,1.37447
118,1,theta,1,11,8,118,1.07143,1.66717
119,1,theta,1,11,9,119,1.07143,1.89947
120,1,theta,1,11,10,120,1.07143,2.04861
121,1,theta,1,11,11,121,1.07143,2.1
122,1,theta,2,1,1,1,1.07143,0
123,1,theta,2,1,2,2,1.07143,0.0513907
124,1,theta,2,1,3,3,1.07143,0.200532
125,1,theta,2,1,4,4,1.07143,0.432825
126,1,theta,2,1,5,5,1.07143,0.725532
127,1,theta,2,1,6,6,1.07143,1.05
128,1,theta,2,1,7,7,1.07143,1.37447
129,1,theta,2,1,8,8,1.07143,1.66717
130,1,theta,2,1,9,9,1.07143,1.89947
131,1,theta,2,1,10,10,1.07143,2.04861
132,1,theta,2,1,11,11,1.07143,2.1
133,1,theta,2,2,1,12,1.07318,0
134,1,theta,2,2,2,13,1.07318,0.0513907
135,1,theta,2,2,3,14,1.07318,0.200532
136,1,theta,2,2,4,15,1.07318,0.432825
137,1,theta,2,2,5,16,1.07318,0.725532
138,1,theta,2,2,6,17,1.07318,1.05
139,1,theta,2,2,7,18,1.07318,1.37447
140,1,theta,2,2,8,19,1.07318,1.66717
141,1,theta,2,2,9,20,1.07318,1.89947
142,1,theta,2,2,10,21,1.07318,2.04861
143,1,theta,2,2,11,22,1.07318,2.1
144,1,theta,2,3,1,23,1.07825,0
145,1,theta,2,3,2,24,1.07825,0.0513907
146,1,theta,2,3,3,25,1.07825,0.200532
147,1,theta,2,3,4,26,1.07825,0.432825
148,1,theta,2,3,5,27,1.07825,0.725532
149,1,theta,2,3,6,28,1.07825,1.05
150,1,theta,2,3,7,29,1.07825,1.37447
151,1,theta,2,3,8,30,1.07825,1.66717
152,1,theta,2,3,9,31,1.07825,1.89947
153,1,theta,2,3,10,32,1.07825,2.04861
154,1,theta,2,3,11,33,1.07825,2.1
155,1,theta,2,4,1,34,1.08615,0
156,1,theta,2,4,2,35,1.08615,0.0513907
157,1,theta,2,4,3,36,1.08615,0.200532
158,1,theta,2,4,4,37,1.08615,0.432825
159,1,theta,2,4,5,38,1.08615,0.725532
160,1,theta,2,4,6,39,1.08615,1.05
161,1,theta,2,4,7,40,1.08615,1.37447
162,1,theta,2,4,8,41,1.08615,1.66717
163,1,theta,2,4,9,42,1.08615,1.89947
164,1,theta,2,4,10,43,1.08615,2.04861
165,1,theta,2,4,11,44,1.08615,2.1
166,1,theta,2,5,1,45,1.09611,0
167,1,theta,2,5,2,46,1.09611,0.0513907
168,1,theta,2,5,3,47,1.09611,0.200532
169,1,theta,2,5,4,48,1.09611,0.432825
170,1,theta,2,5,5,49,1.09611,0.725532
171,1,theta,2,5,6,50,1.09611,1.05
172,1,theta,2,5,7,51,1.09611,1.37447
173,1,theta,2,5,8,52,1.09611,1.66717
174,1,theta,2,5,9,53,1.09611,1.89947
175,1,theta,2,5,10,54,1.09611,2.04861
176,1,theta,2,5,11,55,1.09611,2.1
177,1,theta,2,6,1,56,1.10714,0
178,1,theta,2,6,2,57,1.10714,0.0513907
179,1,theta,2,6,3,58,1.10714,0.200532
180,1,theta,2,6,4,59,1.10714,0.432825
181,1,theta,2,6,5,60,1.10714,0.725532
182,1,theta,2,6,6,61,1.10714,1.05
183,1,theta,2,6,7,62,1.10714,1.37447
184,1,theta,2,6,8,63,1.10714,1.66717
185,1,theta,2,6,9,64,1.10714,1.89947
186,1,theta,2,6,10,65,1.10714,2.04861
187,1,theta,2,6,11,66,1.10714,2.1
188,1,theta,2,7,1,67,1.11818,0
189,1,theta,2,7,2,68,1.11818,0.0513907
190,1,theta,2,7,3,69,1.11818,0.200532
191,1,theta,2,7,4,70,1.11818,0.432825
192,1,theta,2,7,5,71,1.11818,0.725532
193,1,theta,2,7,6,72,1.11818,1.05
194,1,theta,2,7,7,73,1.11818,1.37447
195,1,theta,2,7,8,74,1.11818,1.66717
196,1,theta,2,7,9,75,1.11818,1.89947
197,1,theta,2,7,10,76,1.11818,2.04861
198,1,theta,2,7,11,77,1.11818,2.1
199,1,theta,2,8,1,78,1.12814,0
200,1,theta,2,8,2,79,1.12814,0.0513907
201,1,theta,2,8,3,80,1.12814,0.200532
202,1,theta,2,8,4,81,1.12814,0.432825
203,1,theta,2,8,5,82,1.12814,0.725532
204,1,theta,2,8,6,83,1.12814,1.05
205,1,theta,2,8,7,84,1.12814,1.37447
206,1,theta,2,8,8,85,1.12814,1.66717
207,1,theta,2,8,9,86,1.12814,1.89947
208,1,theta,2,8,10,87,1.12814,2.04861
209,1,theta,2,8,11,88,1.12814,2.1
210,1,theta,2,9,1,89,1.13604,0
211,1,theta,2,9,2,90,1.13604,0.0513907
212,1,theta,2,9,3,91,1.13604,0.200532
213,1,theta,2,9,4,92,1.13604,0.432825
214,1,theta,2,9,5,93,1.13604,0.725532
215,1,theta,2,9,6,94,1.13604,1.05
216,1,theta,2,9,7,95,1.13604,1.37447
217,1,theta,2,9,8,96,1.13604,1.66717
218,1,theta,2,9,9,97,1.13604,1.89947
219,1,theta,2,9,10,98,1.13604,2.04861
220,1,theta,2,9,11,99,1.13604,2.1
221,1,theta,2,10,1,100,1.14111,0
222,1,theta,2,10,2,101,1.14111,0.0513907
223,1,theta,2,10,3,102,1.14111,0.200532
224,1,theta,2,10,4,103,1.14111,0.432825
225,1,theta,2,10,5,104,1.14111,0.725532
226,1,theta,2,10,6,105,1.14111,1.05
227,1,theta,2,10,7,106,1.14111,1.37447
228,1,theta,2,10,8,107,1.14111,1.66717
229,1,theta,2,10,9,108,1.14111,1.89947
230,1,theta,2,10,10,109,1.14111,2.04861
231,1,theta,2,10,11,110,1.14111,2.1
232,1,theta,2,11,1,111,1.14286,0
233,1,theta,2,11,2,112,1.14286,0.0513907
234,1,theta,2,11,3,113,1.14286,0.200532
235,1,theta,2,11,4,114,1.14286,0.432825
236,1,theta,2,11,5,115,1.14286,0.725532
237,1,theta,2,11,6,116,1.14286,1.05
238,1,theta,2,11,7,117,1.14286,1.37447
239,1,theta,2,11,8,118,1.14286,1.66717
240,1,theta,2,11,9,119,1.14286,1.89947
241,1,theta,2,11,10,120,1.14286,2.04861
242,1,theta,2,11,11,121,1.14286,2.1
243,1,theta,3,1,1,1,1.14286,0
244,1,theta,3,1,2,2,1.14286,0.0513907
245,1,theta,3,1,3,3,1.14286,0.200532
246,1,theta,3,1,4,4,1.14286,0.432825
247,1,theta,3,1,5,5,1.14286,0.725532
248,1,theta,3,1,6,6,1.14286,1.05
249,1,theta,3,1,7,7,1.14286,1.37447
250,1,theta,3,1,8,8,1.14286,1.66717
251,1,theta,3,1,9,9,1.14286,1.89947
252,1,theta,3,1,10,10,1.14286,2.04861
253,1,theta,3,1,11,11,1.14286,2.1
254,1,theta,3,2,1,12,1.14461,0
255,1,theta,3,2,2,13,1.14461,0.0513907
256,1,theta,3,2,3,14,1.14461,0.200532
257,1,theta,3,2,4,15,1.14461,0.432825
258,1,theta,3,2,5,16,1.14461,0.725532
259,1,theta,3,2,6,17,1.14461,1.05
260,1,theta,3,2,7,18,1.14461,1.37447
261,1,theta,3,2,8,19,1.14461,1.66717
262,1,theta,3,2,9,20,1.14461,1.89947
263,1,theta,3,2,10,21,1.14461,2.04861
264,1,theta,3,2,11,22,1.14461,2.1
265,1,theta,3,3,1,23,1.14968,0
266,1,theta,3,3,2,24,1.14968,0.0513907
267,1,theta,3,3,3,25,1.14968,0.200532
268,1,theta,3,3,4,26,1.14968,0.432825
269,1,theta,3,3,5,27,1.14968,0.725532
270,1,theta,3,3,6,28,1.14968,1.05
271,1,theta,3,3,7,29,1.14968,1.37447
272,1,theta,3,3,8,30,1.14968,1.66717
273,1,theta,3,3,9,31,1.14968,1.89947
274,1,theta,3,3,10,32,1.14968,2.04861
275,1,theta,3,3,11,33,1.14968,2.1
276,1,theta,3,4,1,34,1.15758,0
277,1,theta,3,4,2,35,1.15758,0.0513907
278,1,theta,3,4,3,36,1.15758,0.200532
279,1,theta,3,4,4,37,1.15758,0.432825
