case_,Tmax_star,Fo_at_Tmax,Tend_star,Tout_end_star,umax_star,uend_star,Stt_in_end_star,Stt_out_end_star,Stt_min_end_star,Stt_max_end_star
A_GPL_A,0.982284938120174,1.05209180551086,0.955043967188357,0.896211917559737,2.95681473770689,2.95542320986526,0.57586448958547,0.324512145185844,0.307951202890469,0.595034164575306
A_GPL_O,0.866875156818295,1.03666208257875,0.858866329576532,0.804966652151556,2.92320597708672,2.92318709183296,0.225480260590206,0.376997754668867,0.224128848249382,0.661657833189373
A_GPL_V,0.661228606600846,1.07649229758956,0.661228606600846,0.587398329583572,2.69118910582743,2.69118910582743,0.116512891252811,0.700496583945991,0.112557199866602,0.700496583945991
A_GPL_X,0.841423610031236,1.07649229758956,0.841423610031236,0.700743059117157,2.79071658192922,2.78999659922391,0.417942586602682,0.661616291684812,0.210099140801756,0.661714656188615
BASE,0.925726467919534,0.979249160040637,0.91244721292934,0.882956423925745,2.96224919898239,2.96224919898239,0.365803346086767,0.505979891065494,0.365741208909197,0.506151279350871
B_POR_A,0.127945683487085,1.07649229758956,0.127945683487085,0.106824542361017,2.37720298264225,2.37720298264225,-0.0859738169723713,0.722853731794303,-0.0861772549974178,0.722853731794303
B_POR_O,0.926565150910981,0.978172667743048,0.900979514585778,0.86950391849262,2.911466450359,2.911466450359,0.451736319707233,0.605455084000586,0.336543918212893,0.605518549715923
B_POR_V,1.1089463053551,0.790145346430738,1.00228754823769,0.676135334762369,3.29723262405105,3.18395001777686,0.720750855702453,0.0212755724802436,0.017748097609301,0.72981102768336
B_POR_X,0.866699302116002,1.07649229758956,0.866699302116002,0.828261742345173,2.91925801763566,2.91907970881635,0.199963685255343,0.340052642740522,0.196253990854673,0.635196456218285
C_FOURIER,0.950112471670913,2.15262576441326,0.950103667938448,0.913746378010449,3.00070033135841,3.00070033135841,0.379172472311933,0.507371987944708,0.379172472311933,0.507437742728664
C_TAU_004,0.952865260287461,2.15262576441326,0.952854868726855,0.917411431513518,3.00426748965501,3.00426748965501,0.380499176513606,0.507142246689861,0.380499176513606,0.507209056881281
C_TAU_015,0.962420795921964,1.37324534095842,0.959967470966254,0.927710397452377,3.01491995709809,3.01411679936111,0.384179157458641,0.506429798021503,0.384179157458641,0.50649734397568
C_TAU_044,1.1662147697411,1.67502201504936,1.0510776690481,0.993674092919893,3.180319667427,3.12003743369758,0.42253411259931,0.520368443567947,0.4197511941274,0.521057244844956
C_TAU_087,1.27081910724409,2.14114317990564,1.26139424746586,1.20322881037714,3.36245907252631,3.34485765398865,0.502745616267446,0.513625445852197,0.352477449996289,0.5139870153076
D2_W_010,1.07249748427329,0.7115614087067,1.00995368450955,1.00353820616159,2.16599378335183,2.13529833314351,0.35334387822886,0.586288370668714,0.35334387822886,0.587346843172936
D2_W_020,1.14404370053498,0.604988671245333,0.978297073554334,0.984728885064671,1.8649286975733,1.74567903173971,0.243363799552369,0.698124475000927,0.243363799552369,0.699061696536241
D2_W_040,1.2080846157874,0.522098764330937,0.970238363728562,0.955874697593808,1.6817770845012,1.48015579218846,-0.00501838678824596,0.934112223889404,-0.0239637957943314,0.95345670963477
D2_W_080,1.26092659126052,0.460379872602469,0.968117883568989,0.948376444803972,1.55125545261523,1.30510579205983,-0.378711890558733,1.36423815371482,-0.378711890558733,1.36835229808112
D_W_001,0.631020533965345,1.07649229758956,0.631020533965345,0.484405872689105,3.45387830060812,3.45387830060812,0.302017592094577,0.497928612917337,0.302017592094577,0.497928612917337
D_W_005,0.991412960325775,0.848634761266437,0.985159994883673,0.955244859749366,2.6092722327486,2.60797780966529,0.376313675039757,0.535062763690026,0.372220865959329,0.535062763690026
D_W_009,1.06074644043207,0.729861777765722,1.00774474040692,1.00002296094807,2.22438935298095,2.2043091097751,0.361006018219283,0.577505334081019,0.35685520566936,0.577778298674998
D_W_015,1.11508573453739,0.645536547787874,0.99819320920102,0.999234646727155,1.97274804299607,1.88957622799317,0.303905105530377,0.635365446407387,0.301648141389998,0.636158284025501
E_EM3_7776,0.9421518700901,0.932601160478423,0.931484925737421,0.916806756076507,3.37596927169678,3.37594556585414,0.389752381560937,0.48534399975371,0.389752381560937,0.485567171126879
E_EM3_9675,0.905447147488659,1.03666208257875,0.888263855711729,0.838994538149082,2.56183231280889,2.56183231280889,0.323896408412559,0.535398507742735,0.323896408412559,0.535712843058695
F_BC_C,0.9288456740939,0.979249160040637,0.914999128745224,0.886391609104454,2.69392105356504,2.69247713302981,0.101659295538996,0.367715271607817,0.101659295538996,0.367929667678977
F_BC_SC,0.92627465359073,0.979607990806501,0.912864849970851,0.883486970732631,2.62183949487286,2.62183949487286,0.255865179622157,0.431868971873409,0.255865179622157,0.432049441180508
